,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
3819,Physics of Life Reviews,, 1873-1457, 1571-0645,,11.7
3820,Physics in Medicine, 2352-4510,,,,
3821,Physics Open,, 2666-0326,,,
3822,Physics Procedia, 1875-3892,,,,
3823,Physics Reports,, 1873-6270, 0370-1573,,30
3824,Physiological and Molecular Plant Pathology,, 1096-1178, 0885-5765,,2.7
3825,Physiological Plant Pathology, 0048-4059,,,,
3826,Physiology & Behavior,, 1873-507X, 0031-9384,,2.9
3827,Physiotherapy,, 1873-1465, 0031-9406,,3.3
3828,Phytochemistry,, 1873-3700, 0031-9422,,3.8
3829,Phytochemistry Letters,, 1876-7486, 1874-3900,,1.7
3830,Phytomedicine,, 1618-095X, 0944-7113,,7.9
3831,Phytomedicine Plus,, 2667-0313,,,7.9
3832,Piel,, 1578-8830, 0213-9251,,
3833,Placenta,, 1532-3102, 0143-4004,,3.8
3834,Planetary and Space Science,, 1873-5088, 0032-0633,,2.4
3835,Plant Communications,, 2590-3462,,,10.5
3836,Plant Diversity,, 2468-2659, 2096-2703,,4.8
3837,Plant Gene,, 2352-4073,,,3.5
3838,Plant Nano Biology, 2773-1111,,,,
3839,Plant Physiology and Biochemistry,, 1873-2690, 0981-9428,,6.5
3840,Plant Science,, 1873-2259, 0168-9452,,5.2
3841,Plant Science Letters, 0304-4211,,,,
3842,Plant Stress,, 2667-064X,,,5
3843,Plasma Therapy and Transfusion Technology, 0278-6222,,,,
3844,Plasmas & Ions, 1288-3255,,,,
3845,Plasmid,, 1095-9890, 0147-619X,,2.6
3846,"Plastics, Additives and Compounding", 1464-391X,,,,
3847,PM&R, 1934-1482,,,,
3848,Poetics,, 1872-7514, 0304-422X,,2.5
3849,Polar Science,, 1876-4428, 1873-9652,,1.8
3850,Policy and Society, 1449-4035,,,,
3851,Polish Annals of Medicine, 1230-8013,,,,
3852,Political Geography,, 1873-5096, 0962-6298,,4.1
3853,Political Geography Open Research, 2772-9990,,,,4.1
3854,Political Geography Quarterly, 0260-9827,,,,
3855,Polski Przegląd Otorynolaryngologiczny, 2084-5308,,,,
3856,Polycyclic Aromatic Compounds, 1040-6638,,,,
3857,Polyhedron,, 1873-3719, 0277-5387,,2.6
3858,Polymer,, 1873-2291, 0032-3861,,4.6
3859,Polymer Chemistry, 1759-9954,,,,
3860,Polymer Contents, 0883-153X,,,,
3861,Polymer Degradation and Stability,, 1873-2321, 0141-3910,,5.9
3862,Polymer Gels and Networks, 0966-7822,,,,
3863,Polymer Photochemistry, 0144-2880,,,,
3864,Polymer Science U.S.S.R., 0032-3950,,,,
3865,Polymer Testing,, 1873-2348, 0142-9418,,5.1
3866,Porto Biomedical Journal, 2444-8664,,,,
3867,Postępy Psychiatrii i Neurologii, 1230-2813,,,,
3868,Postharvest Biology and Technology,, 1873-2356, 0925-5214,,7
3869,Poultry Science,, 1525-3171, 0032-5791,,4.4
3870,Powder Technology,, 1873-328X, 0032-5910,,5.2
3871,Power Electronic Devices and Components, 2772-3704,,,,
3872,Practical Laboratory Medicine,, 2352-5517,,,1.9
3873,Practical Radiation Oncology,, 1879-8519, 1879-8500,,3.3
3874,Le Praticien en Anesthésie Réanimation,, 2352-3573, 1279-7960,,
3875,Pratique Médicale et Chirurgicale de l'Animal de Compagnie, 0758-1882,,,,
3876,Pratique Neurologique - FMC,, 1878-7770, 1878-7762,,
3877,Pratiques Psychologiques,, 1878-092X, 1269-1763,,0.8
3878,Precambrian Research,, 1872-7433, 0301-9268,,3.8
3879,Precision Engineering,, 1873-2372, 0141-6359,,3.6
3880,Pregnancy Hypertension,, 2210-7797, 2210-7789,,2.2
3881,Prehospital Emergency Care, 1090-3127,,,,
3882,La Presse Médicale,, 2213-0276, 0755-4982,,2.7
3883,Prevention and Control, 1573-2088,,,,
3884,Preventive Medicine,, 1096-0260, 0091-7435,,5.1
3885,Preventive Medicine Reports,, 2211-3355,,,2.8
3886,Preventive Veterinary Medicine,, 1873-1716, 0167-5877,,2.6
3887,Prevenzione & Assistenza Dentale, 0393-9960,,,,
3888,Primary Care: Clinics in Office Practice,, 1558-299X, 0095-4543,,1.9
3889,Primary Care Diabetes,, 1878-0210, 1751-9918,,2.9
3890,Primary Care Respiratory Journal, 1471-4418,,,,
3891,Primary Care Update for OB/GYNS, 1068-607X,,,,
3892,Probabilistic Engineering Mechanics,, 1878-4275, 0266-8920,,2.6
3893,Problemas del Desarrollo, 0301-7036,,,,
3894,Procedia Chemistry, 1876-6196,,,,
3895,Procedia CIRP,, 2212-8271,,,
3896,Procedia Computer Science,, 1877-0509,,,
3897,Procedia Earth and Planetary Science, 1878-5220,,,,
3898,Procedia Economics and Finance, 2212-5671,,,,
3899,Procedia Engineering, 1877-7058,,,,
3900,Procedia Environmental Sciences, 1878-0296,,,,
3901,Procedia Food Science, 2211-601X,,,,
3902,Procedia IUTAM, 2210-9838,,,,
3903,Procedia Manufacturing, 2351-9789,,,,
3904,Procedia Materials Science, 2211-8128,,,,
3905,Procedia - Social and Behavioral Sciences, 1877-0428,,,,
3906,Procedia Structural Integrity,, 2452-3216,,,
3907,Procedia Technology, 2212-0173,,,,
3908,Procedia in Vaccinology, 1877-282X,,,,
3909,Proceedings of the Association of Veterinary Anaesthetists, 0269-5243,,,,
3910,Proceedings of the Combustion Institute,, 1873-2704, 1540-7489,,3.4
3911,Proceedings of the Geologists' Association,, 2773-0743, 0016-7878,,1.2
3912,Proceedings of the Symposium on Combustion, 1062-2888,,,,
3913,Process Biochemistry,, 1873-3298, 1359-5113,,4.4
3914,Process Safety and Environmental Protection,, 1744-3598, 0957-5820,,7.8
3915,The Professional Animal Scientist, 1080-7446,,,,
3916,Progrès en Urologie - FMC,, 2405-514X, 1761-676X,,
3917,Progrès en Urologie, 1166-7087,,,,1.1
3918,Progresos de Obstetricia y Ginecología, 0304-5013,,,,
3919,Progress in Aerospace Sciences,, 1873-1724, 0376-0421,,9.6
3920,Progress in Biophysics and Biophysical Chemistry, 0096-4174,,,,
3921,Progress in Biophysics and Molecular Biology,, 1873-1732, 0079-6107,,3.8
3922,Progress in Cardiovascular Diseases,, 1873-1740, 0033-0620,,9.1
3923,Progress in the Chemistry of Fats and other Lipids, 0079-6832,,,,
3924,Progress in Crystal Growth and Characterization, 0146-3535,,,,
3925,Progress in Crystal Growth and Characterization of Materials,, 1878-4208, 0960-8974,,5.1
3926,Progress in Disaster Science,, 2590-0617,,,6.3
3927,Progress in Economic Geography, 2949-6942,,,,
3928,Progress in Energy and Combustion Science,, 1873-216X, 0360-1285,,29.5
3929,Progress in Growth Factor Research, 0955-2235,,,,
3930,Progress in Histochemistry and Cytochemistry, 0079-6336,,,,
3931,Progress in Lipid Research,, 1873-2194, 0163-7827,,13.6
3932,Progress in Materials Science,, 1873-2208, 0079-6425,,37.4
3933,Progress in Metal Physics, 0502-8205,,,,
3934,Progress in Natural Science: Materials International,, 1745-5391, 1002-0071,,4.7
3935,Progress in Neuro-Psychopharmacology, 0364-7722,,,,
3936,Progress in Neuro-Psychopharmacology and Biological Psychiatry,, 1878-4216,, 0278-5846,5.6
3937,Progress in Neurobiology,, 1873-5118,, 0301-0082,6.7
3938,Progress in Nuclear Energy,, 1878-4224, 0149-1970,,2.7
3939,Progress in Nuclear Magnetic Resonance Spectroscopy,, 1873-3301, 0079-6565,,6.1
3940,Progress in Oceanography,, 1873-4472, 0079-6611,,4.1
3941,Progress in Organic Coatings,, 1873-331X, 0300-9440,,6.6
3942,Progress in Orthodontics, 1723-7785,,,,
3943,Progress in Particle and Nuclear Physics,, 1873-2224, 0146-6410,,9.6
3944,Progress in Pediatric Cardiology,, 1558-1519, 1058-9813,,0.9
3945,Progress in Planning,, 1873-4510, 0305-9006,,6.4
3946,Progress in Polymer Science,, 1873-1619, 0079-6700,,27.1
3947,Progress in Quantum Electronics,, 1873-1627, 0079-6727,,11.7
3948,Progress in Retinal and Eye Research,, 1873-1635, 1350-9462,,17.8
3949,Progress in Retinal Research, 0278-4327,,,,
3950,Progress in Solid State Chemistry,, 1873-1643, 0079-6786,,12
3951,Progress in Surface Science,, 1878-4240, 0079-6816,,6.4
3952,Project Leadership and Society,, 2666-7215,,,8
3953,Propulsion and Power Research,, 2212-540X,,,5.3
3954,Prostaglandins, 0090-6980,,,,
3955,"Prostaglandins, Leukotrienes and Essential Fatty Acids",, 1532-2823,, 0952-3278,3
3956,"Prostaglandins, Leukotrienes and Medicine", 0262-1746,,,,
3957,Prostaglandins and Medicine, 0161-4630,,,,
3958,Prostaglandins & Other Lipid Mediators,, 2212-196X,, 1098-8823,2.9
3959,Prostate International,, 2287-903X, 2287-8882,,3
3960,Protein Expression and Purification,, 1096-0279, 1046-5928,,1.6
3961,Protist,, 1618-0941, 1434-4610,,2.5
3962,Psicología Educativa, 1135-755X,,,,
3963,Psiquiatría Biológica,, 1578-8962, 1134-5934,,
3964,Psychiatric Clinics of North America,, 1558-3147, 0193-953X,,1.7
3965,Psychiatry, 1476-1793,,,,
3966,Psychiatry Research,, 1872-7123, 0165-1781,,11.3
3967,Psychiatry Research Case Reports, 2773-0212,,,,11.3
3968,Psychiatry Research Communications, 2772-5987,,,,
3969,Psychiatry Research: Neuroimaging,, 1872-7506, 0925-4927,,2.3
3970,Psychologie Française,, 1873-7277, 0033-2984,,0.3
3971,Psychologie du Travail et des Organisations,, 1778-3631, 1420-2530,,0.3
3972,Psychology of Sport and Exercise,, 1878-5476, 1469-0292,,3.4
3973,Psychoneuroendocrinology,, 1873-3360, 0306-4530,,3.7
3974,Psychosocial Intervention, 1132-0559,,,,
3975,Psychosomatics, 0033-3182,,,,
3976,Public Health,, 1476-5616, 0033-3506,,5.2
3977,Public Health Forum, 0944-5587,,,,
3978,Public Health in Practice,, 2666-5352,,,5.2
3979,Public Relations Review,, 1873-4537, 0363-8111,,4.2
3980,Pulmonary Pharmacology, 0952-0600,,,,
3981,Pulmonary Pharmacology & Therapeutics,, 1522-9629, 1094-5539,,3.2
3982,Pulmonology,, 2531-0437, 2531-0429,,11.7
3983,Pump Industry Analyst, 1359-6128,,,,
3984,QRB - Quality Review Bulletin, 0097-5990,,,,
3985,Quaderni Italiani di Psichiatria, 0393-0645,,,,
3986,The Quarterly Review of Economics and Finance,, 1878-4259, 1062-9769,,3.4
3987,Quaternary Environments and Humans, 2950-2365,,,,2.2
3988,Quaternary Geochronology,, 1878-0350, 1871-1014,,2.7
3989,Quaternary International,, 1873-4553, 1040-6182,,2.2
3990,Quaternary Research, 0033-5894,,,,
3991,Quaternary Science Advances,, 2666-0334,,,4.5
3992,Quaternary Science Reviews,, 1873-457X, 0277-3791,,4
3993,Race and Society, 1090-9524,,,,
3994,Radiation Botany, 0033-7560,,,,
3995,Radiation Measurements,, 1879-0925, 1350-4487,,2
3996,Radiation Medicine and Protection,, 2666-5557,,,
3997,Radiation Physics and Chemistry,, 1879-0895, 0969-806X,,2.9
3998,Radiation Physics and Chemistry (1977), 0146-5724,,,,
3999,Radiography,, 1532-2831,, 1078-8174,2.6
4000,Radiología,, 1578-178X, 0033-8338,,1.3
4001,Radiología (English Edition),, 2173-5107,,,
4002,Radiologic Clinics of North America,, 1557-8275, 0033-8389,,1.9
4003,Radiology Case Reports,, 1930-0433,,,
4004,Radiology of Infectious Diseases, 2352-6211,,,,
4005,Radiotherapy and Oncology,, 1879-0887, 0167-8140,,5.7
4006,RAI Revista de Administração e Inovação, 1809-2039,,,,
4007,Rangeland Ecology & Management,, 1551-5028, 1550-7424,,2.3
4008,Rangelands,, 1551-501X, 0190-0528,,
4009,Rare, 2950-0087,,,,
4010,Rare Metal Materials and Engineering, 1875-5372,,,,
4011,Rare Metals, 1001-0521,,,,
4012,RAUSP Management Journal, 2531-0488,,,,
4013,RBM-News, 0222-0776,,,,
4014,REACH, 2352-3093,,,,
4015,Reactive and Functional Polymers,, 1873-166X, 1381-5148,,5.1
4016,Reactive Polymers, 0923-1137,,,,
4017,"Reactive Polymers, Ion Exchangers, Sorbents", 0167-6989,,,,
4018,Reactivity of Solids, 0168-7336,,,,
4019,Real-Time Imaging, 1077-2014,,,,
4020,Réanimation, 1624-0693,,,,
4021,Réanimation Urgences, 1164-6756,,,,
4022,REC: CardioClinics,, 2605-1575, 2605-1532,,
4023,Recherche - Transports - Sécurité, 0761-8980,,,,
4024,Redox Biochemistry and Chemistry, 2773-1766,,,,
4025,Redox Biology,, 2213-2317,,,11.4
4026,"Redox in Muscle Physiology, Exercise, and Sport", 2772-6231,,,,
4027,Refocus, 1471-0846,,,,
4028,REGE - Revista de Gestão, 1809-2276,,,,
4029,Regenerative Therapy,, 2352-3204,,,4.3
4030,Regional Anesthesia and Pain Medicine, 1098-7339,,,,
4031,Regional Science Policy & Practice, 1757-7802,,,,
4032,Regional Science and Urban Economics,, 1879-2308, 0166-0462,,3.1
4033,Regional Studies in Marine Science,, 2352-4855,,,2.1
4034,Regional Sustainability,, 2666-660X,,,
4035,Regional and Urban Economics, 0034-3331,,,,
4036,Regulatory Peptides, 0167-0115,,,,
4037,Regulatory Toxicology and Pharmacology,, 1096-0295, 0273-2300,,3.4
4038,Rehabilitación,, 1578-3278, 0048-7120,,
4039,Reinforced Plastics, 0034-3617,,,,
4040,Reliability Engineering, 0143-8174,,,,
4041,Reliability Engineering & System Safety,, 1879-0836, 0951-8320,,8.1
4042,Religion, 0048-721X,,,,
4043,Remote Sensing Applications: Society and Environment,, 2352-9385,,,4.7
4044,Remote Sensing of Environment,, 1879-0704, 0034-4257,,13.5
4045,Renewable Energy,, 1879-0682, 0960-1481,,8.7
4046,Renewable Energy Focus,, 1878-0229, 1755-0084,,4.8
4047,Renewable and Sustainable Energy Reviews,, 1879-0690, 1364-0321,,15.9
4048,Renewable and Sustainable Energy Transition, 2667-095X,,,,
4049,Repertorio de Medicina y Cirugía, 0121-7372,,,,
4050,Reports on Mathematical Physics,, 1879-0674, 0034-4877,,0.8
4051,Reports of Practical Oncology, 1428-2267,,,,
4052,Reports of Practical Oncology & Radiotherapy, 1507-1367,,,,
4053,Reprodução & Climatério, 1413-2087,,,,
4054,Reproduction and Breeding,, 2667-0712,,,
4055,Reproductive Biology,, 2300-732X, 1642-431X,,2.1
4056,Reproductive BioMedicine Online,, 1472-6491, 1472-6483,,4
4057,Reproductive Biomedicine & Society Online, 2405-6618,,,,
4058,Reproductive Health Matters, 0968-8080,,,,
4059,Reproductive Toxicology,, 1873-1708, 0890-6238,,3.3
4060,Research in Accounting Regulation, 1052-0457,,,,
4061,Research in Autism Spectrum Disorders,, 1878-0237, 1750-9467,,2.5
4062,Research in Cold and Arid Regions, 2097-1583,,,,
4063,Research in Developmental Disabilities,, 1873-3379, 0891-4222,,3.1
4064,Research in Diagnostic and Interventional Imaging, 2772-6525,,,,
4065,Research in Economics,, 1090-9451, 1090-9443,,0.6
4066,Research in Globalization,, 2590-051X,,,
4067,Research in Immunology, 0923-2494,,,,
4068,Research in International Business and Finance,, 1878-3384, 0275-5319,,6.5
4069,Research Methods in Applied Linguistics, 2772-7661,,,,
4070,Research in Microbiology,, 1769-7123, 0923-2508,,2.6
4071,Research in Organizational Behavior,, 2468-1741, 0191-3085,,1.8
4072,Research Policy,, 1873-7625, 0048-7333,,7.2
4073,Research and Practice in Thrombosis and Haemostasis, 2475-0379,,,,4.6
4074,Research in Social and Administrative Pharmacy,, 1934-8150, 1551-7411,,3.9
4075,Research in Social Stratification and Mobility,, 1878-5654, 0276-5624,,5
4076,Research Strategies, 0734-3310,,,,
4077,Research in Transportation Business & Management,, 2210-5409, 2210-5395,,4.8
4078,Research in Transportation Economics,, 1875-7979, 0739-8859,,3.8
4079,Research in Veterinary Science,, 1532-2661, 0034-5288,,2.4
4080,Research in Virology, 0923-2516,,,,
4081,Resilient Cities and Structures, 2772-7416,,,,
4082,Resource-Efficient Technologies, 2405-6537,,,,
4083,Resource and Energy Economics,, 1873-0221, 0928-7655,,2.9
4084,Resource Recovery and Conservation, 0304-3967,,,,
4085,Resources Chemicals and Materials, 2772-4433,,,,
4086,Resources and Conservation, 0166-3097,,,,
4087,"Resources, Conservation and Recycling",, 1879-0658, 0921-3449,,13.2
4088,"Resources, Conservation & Recycling Advances",, 2667-3789,,,13.2
4089,"Resources, Conservation & Recycling: X", 2590-289X,,,,
4090,Resources and Energy, 0165-0572,,,,
4091,"Resources, Environment and Sustainability",, 2666-9161,,,
4092,Resources Policy,, 1873-7641, 0301-4207,,10.2
4093,Respiration Physiology, 0034-5687,,,,
4094,Respiratory Investigation,, 2212-5353,, 2212-5345,3.1
4095,Respiratory Medicine,, 1532-3064, 0954-6111,,4.3
4096,Respiratory Medicine Case Reports,, 2213-0071,,,1.1
4097,Respiratory Medicine CME, 1755-0017,,,,
4098,Respiratory Medicine: COPD Update, 1745-0454,,,,
4099,Respiratory Medicine Extra, 1744-9049,,,,
4100,Respiratory Medicine and Research,, 2590-0412,,,2.3
4101,Respiratory Medicine: X, 2590-1435,,,,
4102,Respiratory Physiology & Neurobiology,, 1878-1519, 1569-9048,,2.3
4103,Results in Applied Mathematics,, 2590-0374,,,2
4104,Results in Chemistry,, 2211-7156,,,2.3
4105,Results in Control and Optimization,, 2666-7207,,,
4106,Results in Earth Sciences, 2211-7148,,,,
4107,Results in Engineering,, 2590-1230,,,5
4108,Results in Geochemistry,, 2666-2779,,,
4109,Results in Geophysical Sciences,, 2666-8289,,,
4110,Results in Immunology, 2211-2839,,,,
4111,Results in Materials,, 2590-048X,,,
4112,Results in Optics,, 2666-9501,,,
4113,Results in Pharma Sciences, 2211-2863,,,,
4114,Results in Physics,, 2211-3797,,,5.3
4115,Results in Surfaces and Interfaces,, 2666-8459,,,6.2
4116,Resuscitation,, 1873-1570, 0300-9572,,6.5
4117,Resuscitation Plus,, 2666-5204,,,2.4
4118,Reumatología Clínica,, 1885-1398, 1699-258X,,1.5
4119,Reumatología Clínica (English Edition),, 2173-5743,,,
4120,Review of Development Finance, 1879-9337,,,,
4121,Review of Economic Dynamics,, 1096-6099, 1094-2025,,2
4122,Review of Financial Economics, 1058-3300,,,,
4123,Review of Palaeobotany and Palynology,, 1879-0615, 0034-6667,,1.9
4124,Review of Radical Political Economics, 0486-6134,,,,
4125,Reviews in Gynaecological and Perinatal Practice, 1871-2320,,,,
4126,Reviews in Gynaecological Practice, 1471-7697,,,,
4127,Reviews in Molecular Biotechnology, 1389-0352,,,,
4128,Reviews in Physics,, 2405-4283,,,
4129,Reviews in Vascular Medicine, 2212-0211,,,,
4130,Revista de Administração, 0080-2107,,,,
4131,Revista Andaluza de Medicina del Deporte, 1888-7546,,,,
4132,Revista Argentina de Anestesiología, 0370-7792,,,,
4133,Revista Argentina de Endocrinología y Metabolismo, 0326-4610,,,,
4134,Revista Argentina de Microbiología,, 1851-7617, 0325-7541,,1.9
4135,Revista Argentina de Radiología, 0048-7619,,,,
4136,Revista da Associação Médica Brasileira, 0104-4230,,,,
4137,Revista da Associação Médica Brasileira (English Edition), 2255-4823,,,,
4138,Revista Brasileira de Cardiologia Invasiva, 0104-1843,,,,
4139,Revista Brasileira de Ciências do Esporte, 0101-3289,,,,
4140,Revista Brasileira de Cardiologia Invasiva (English Edition), 2214-1235,,,,
4141,Revista Brasileira de Entomologia, 0085-5626,,,,
4142,Revista Brasileira de Farmacognosia, 0102-695X,,,,
4143,Revista Brasileira de Hematologia e Hemoterapia, 1516-8484,,,,
4144,Revista Brasileira de Ortopedia, 0102-3616,,,,
4145,Revista Brasileira de Ortopedia (English Edition), 2255-4971,,,,
4146,Revista Brasileira de Psiquiatria, 1516-4446,,,,
4147,Revista Brasileira de Reumatologia, 0482-5004,,,,
4148,Revista Brasileira de Reumatologia (English Edition), 2255-5021,,,,
4149,Revista de Calidad Asistencial, 1134-282X,,,,
4150,Revista Chilena de Cirugía, 0379-3893,,,,
4151,Revista Chilena de Ortopedia y Traumatología, 0716-4548,,,,
4152,Revista Chilena de Pediatría, 0370-4106,,,,
4153,Revista Chilena de Radiología, 0717-201X,,,,
4154,Revista Científica de la Sociedad de Enfermería Neurológica (English ed.),, 2530-299X,,,
4155,Revista Científica de la Sociedad Española de Enfermería Neurológica,, 2173-9153, 2013-5246,,
4156,Revista Clínica Española,, 1578-1860, 0014-2565,,2.9
4157,Revista Clínica Española (English Edition),, 2254-8874,,,
4158,"Revista Clínica de Periodoncia, Implantología y Rehabilitación Oral", 0718-5391,,,,
4159,Revista Colombiana de Anestesiología, 0120-3347,,,,
4160,Revista Colombiana de Cancerología, 0123-9015,,,,
4161,Revista Colombiana de Cardiología, 0120-5633,,,,
4162,Revista Colombiana de Ortopedia y Traumatología, 0120-8845,,,,
4163,Revista Colombiana de Psiquiatría,, 2530-3139, 0034-7450,,
4164,Revista Colombiana de Psiquiatría (English ed.),, 2530-3120,,,
4165,Revista Colombiana de Reumatología,, 2027-9000, 0121-8123,,
4166,Revista Colombiana de Reumatología (English Edition),, 2444-4405,,,
4167,Revista de Contabilidad, 1138-4891,,,,
4168,Revista de la Educación Superior, 0185-2760,,,,
4169,Revista Española de Anestesiología y Reanimación,, 2340-3284, 0034-9356,,1.3
4170,Revista Española de Anestesiología y Reanimación (English Edition),, 2341-1929,,,
4171,Revista Española de Artroscopia y Cirugía Articular, 2386-3129,,,,
4172,Revista Española de Cardiología,, 1579-2242, 0300-8932,,5.9
4173,Revista Española de Cardiología (English Edition),, 1885-5857,,,
4174,Revista Española de Cardiología Suplementos,, 1579-2250, 1131-3587,,
4175,Revista Española de Cirugía Oral y Maxilofacial, 1130-0558,,,,
4176,Revista Española de Cirugía Ortopédica y Traumatología,,, 1888-4415,,
4177,Revista Española de Cirugía Ortopédica y Traumatología (English Edition), 1988-8856,,,,
4178,Revista Española de Podología, 0210-1238,,,,
4179,Revista Española de Enfermedades Metabólicas Óseas, 1132-8460,,,,
4180,Revista Española de Geriatría y Gerontología,, 1578-1747, 0211-139X,,
4181,Revista Española de Investigación de Marketing ESIC, 1138-1442,,,,
4182,Revista Española de Medicina Legal,, 2173-917X, 0377-4732,,
4183,Revista Española de Medicina Nuclear, 0212-6982,,,,
4184,Revista Española de Medicina Nuclear (English Edition), 1578-200X,,,,
4185,Revista Española de Medicina Nuclear e Imagen Molecular,, 2253-8070, 2253-654X,,1.2
4186,Revista Española de Nutrición Comunitaria, 1135-3074,,,,
4187,Revista Española de Nutrición Humana y Dietética, 2173-1292,,,,
4188,Revista Española de Patología,, 1988-561X, 1699-8855,,
4189,Revista Española de Cirugía Oral y Maxilofacial (English Edition), 2386-401X,,,,
4190,Revista Española de Medicina Nuclear e Imagen Molecular (English Edition),, 2253-8089,,,
4191,Revista Europea de Dirección y Economía de la Empresa, 1019-6838,,,,
4192,Revista de Gastroenterología de México,, 2255-5528, 0375-0906,,1.6
4193,Revista de Gastroenterología de México (English Edition),, 2255-534X,,,
4194,Revista Hispanoamericana de Hernia, 2255-2677,,,,
4195,Revista Iberoamericana de Automática e Informática Industrial RIAI, 1697-7912,,,,
4196,Revista Iberoamericana de Cirugía de la Mano, 1698-8396,,,,
4197,Revista Iberoamericana de Educación Superior, 2007-2872,,,,
4198,Revista Iberoamericana de Fisioterapia y Kinesiología, 1138-6045,,,,
4199,Revista Iberoamericana de Micología,, 2173-9188, 1130-1406,,1.9
4200,Revista Iberoamericana de Psicología y Salud, 2171-2069,,,,
4201,Revista Internacional de Acupuntura,, 1988-6705, 1887-8369,,
4202,Revista Internacional de Andrología,, 1698-0409, 1698-031X,,0.8
4203,Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería, 0213-1315,,,,
4204,Revista del Laboratorio Clínico, 1888-4008,,,,
4205,Revista Latinoamericana de Cirugía Ortopédica, 2444-9725,,,,
4206,Revista Latinoamericana de Derecho Social, 1870-4670,,,,
4207,Revista Latinoamericana de Psicología, 0120-0534,,,,
4208,"Revista de Logopedia, Foniatría y Audiología",, 1578-1712, 0214-4603,,
4209,Revista Médica Clínica Las Condes,, 2531-0186, 0716-8640,,
4210,Revista Médica de Homeopatía, 1888-8526,,,,
4211,Revista Médica del Hospital General de México, 0185-1063,,,,
4212,Revista Médica Internacional sobre el Síndrome de Down, 1138-2074,,,,
4213,Revista Mexicana de Biodiversidad, 1870-3453,,,,
4214,Revista Mexicana de Ciencias Políticas y Sociales, 0185-1918,,,,
4215,Revista Mexicana de Oftalmología, 0187-4519,,,,
4216,Revista Mexicana de Opinión Pública, 1870-7300,,,,
4217,Revista Mexicana de Ortodoncia, 2395-9215,,,,
4218,Revista Mexicana de Trastornos Alimentarios, 2007-1523,,,,
4219,Revista Mexicana de Urología, 2007-4085,,,,
4220,Revista Odontológica Mexicana, 1870-199X,,,,
4221,Revista de Ortopedia y Traumatología, 0482-5985,,,,
4222,Revista de Patología Respiratoria, 1576-9895,,,,
4223,Revista Paulista de Pediatria, 0103-0582,,,,
4224,Revista Paulista de Pediatria (English Edition), 2359-3482,,,,
4225,Revista del Pie y Tobillo, 1697-2198,,,,
4226,Revista Portuguesa de Cardiologia,, 2174-2030, 0870-2551,,1.8
4227,Revista Portuguesa de Cardiologia (English Edition), 2174-2049,,,,
4228,"Revista Portuguesa de Endocrinologia, Diabetes e Metabolismo", 1646-3439,,,,
4229,"Revista Portuguesa de Estomatologia, Medicina Dentária e Cirurgia Maxilofacial", 1646-2890,,,,
4230,Revista Portuguesa de Pneumologia, 0873-2159,,,,
4231,Revista Portuguesa de Pneumologia (English Edition), 2173-5115,,,,
4232,Revista Portuguesa de Saúde Pública, 0870-9025,,,,
4233,Revista de Psicodidáctica,, 2254-4372, 1136-1034,,3.6
4234,Revista de Psicodidáctica (English ed.),, 2530-3805,,,
4235,Revista de Psicología del Trabajo y de las Organizaciones, 1576-5962,,,,
4236,Revista de Psiquiatría y Salud Mental, 1888-9891,,,,
4237,Revista de Psiquiatría y Salud Mental (English Edition), 2173-5050,,,,
4238,Revista de Senología y Patología Mamaria,, 1578-1399, 0214-1582,,
4239,Revista de la Sociedad Española del Dolor, 1134-8046,,,,
4240,Revue de Chirurgie Orthopédique et Réparatrice de l'Appareil Moteur, 0035-1040,,,,
4241,Revue de Chirurgie Orthopédique et Traumatologique,, 1877-0525, 1877-0517,,
4242,Revue d'Electroencéphalographie et de Neurophysiologie Clinique, 0370-4475,,,,
4243,Revue d'Épidémiologie et de Santé Publique, 0398-7620,,,,0.9
4244,Revue Française d'Allergie, 0370-4688,,,,
4245,Revue Française d'Allergologie,, 1877-0320, 1877-0312,,0.3
4246,Revue Française d'Allergologie et d'Immunologie Clinique, 0335-7457,,,,
4247,Revue Française d'Allergologie (1970), 0035-2845,,,,
4248,Revue Française des Laboratoires, 0338-9898,,,,
4249,Revue Française de Transfusion, 0035-2977,,,,
4250,Revue Française de Transfusion et d'Hémobiologie, 1140-4639,,,,
4251,Revue Française de Transfusion et Immuno-hématologie, 0338-4535,,,,
4252,Revue Francophone de Cicatrisation, 2468-9114,,,,
4253,Revue Francophone Internationale de Recherche Infirmière,, 2352-8028,,,
4254,Revue Francophone des Laboratoires,, 1773-0368, 1773-035X,,
4255,Revue Francophone d'Orthoptie,, 1876-2212, 1876-2204,,
4256,Revue Générale des Chemins de Fer, 0035-3183,,,,
4257,Revue Générale de Thermique, 0035-3159,,,,
4258,La Revue Gestion et Organisation, 2214-4234,,,,
4259,La Revue d'Homéopathie, 1878-9730,,,,
4260,Revue Libanaise de Gestion et d'Économie, 1999-7620,,,,
4261,Revue des Maladies Respiratoires,, 1776-2588, 0761-8425,,0.6
4262,Revue des Maladies Respiratoires Actualités,, 1877-122X, 1877-1203,,
4263,La Revue de Médecine Interne,, 1768-3122, 0248-8663,,0.9
4264,La Revue de Médecine Légale, 1878-6529,,,,
4265,Revue de Micropaléontologie,, 1873-4413, 0035-1598,,0.9
